complete?	site name	ownership	phone number	url	latitude	longitude	restrooms	trails	picnic	camping	visitor center	cross-country skiing	boat ramp	restaurant	lodging	drinking water	fishing	hunting	entry fee	bicycling	bats	beavers	butterflies	elk	fish	frogs	loons	migration hotspot	otters	raptors	reptiles	sandhill cranes	shorebirds	songbirds	turkeys	waterbirds	waterfowl	wolves	barrier free
Y	Isle Royale National Park	National Park Service	906-482-0984	http://www.nps.gov/isro/index.htm	47.9116978	-89.1577264	X	X		X	X			X	X	X	X		X			X					X											X	
Y	Porcupine Mountains Wilderness State Park	Michigan Department of Natural Resources	906-885-5275	http://www.michigandnr.com/parksandtrails/details.aspx?type=SPRK&id=426	46.8146439	-89.6250852	X	X		X		X	X	X	X	X	X	X	X											X									
Y	Black River Recreation Area	United States Forest Service	906-932-1330	http://www.fs.usda.gov/recarea/ottawa/recarea/?recid=12343	46.664053	-90.04707	X	X	X	X	X		X			X	X	X												X				X		X	X		
Y	Gogebic Ridge Hiking Trail	United States Forest Service	906-932-1330	http://www.fs.usda.gov/recarea/ottawa/null/recarea/?recid=12328&actid=34	46.5861685	-89.6347944		X	X									X												X				X					
Y	Presque Isle Flowage	United States Forest Service			46.344618	-89.710061	X						X				X	X												X						X			
Y	Clark Lake Day-Use Area	United States Forest Service	906-932-1330	http://www.fs.usda.gov/recarea/ottawa/null/recarea/?recid=12332&actid=70	46.2445747	-89.3101916	X	X	X	X						X	X	X												X				X					
Y	Millie Mine Bat Viewing Site	City of Iron Mountain			45.8215904	-88.0546148															X																		
Y	Deer Marsh Interpretive Trail	United States Forest Service	906-932-1330	http://www.fs.usda.gov/recarea/ottawa/null/recarea/?recid=12318&actid=42	46.4053216	-88.7166638	X	X		X								X				X							X				X	X		X	X		
Y	Agonikak National Recreation Trail	United States Forest Service	906-932-1330	http://www.wildernesslakestrails.org/PDF%20&%20Word%20Files/2013%20Plan%20+%20Overview%20Map.pdf	46.2625693	-89.1738471		X				X								X		X			X								X						
Y	Davidson Lakes Hunter Walking Trail	United States Forest Service	906-932-1330	http://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5109812.jpg	46.5257719	-88.9834375		X										X				X							X										
Y	Bob Lake Campground	United States Forest Service	906-932-1330	http://www.fs.usda.gov/recarea/ottawa/recarea/?recid=12324	46.6612746	-88.9141107	X	X	X	X			X			X	X	X				X										X					X		
Y	Silver Mountain	United States Forest Service	906-932-1330	http://www.fs.usda.gov/recarea/ottawa/null/recarea/?recid=12323&actid=119	46.667863	-88.731616			X																			X		X									
	Brockway Mountain Drive				47.4627774	-88.071452																						X		X									
Y	Fort Wilkins Historic State Park	Michigan Department of Natural Resources	906-289-4215	http://www.michigandnr.com/parksandtrails/Details.aspx?type=SPRK&id=419	47.4678046	-87.8683739	X	X	X	X		X	X			X	X	X	X																				
Y	Estivant Pines Nature Sanctuary	Michigan Nature Association	866-223-2231	https://www.michigannature.org/home/sancts/estivant/estivant.shtml	47.4461147	-87.8775701	X	X																															
Y	Sturgeon River Sloughs	Michigan Department of Natural Resources	906-353-6651	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Sturgeon_River_Sloughs_SWMA_map.pdf	47.0080567	-88.489905		X	X				X				X	X				X								X			X			X	X		
	Canyon Falls Roadside Park				46.6276923	-88.4706654	X	X	X							X														X				X					
Y	Groveland Mine Flooding State Wildlife Management Area	Michigan Department of Natural Resources	906-563-9247	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Groveland_Mine_Flooding_SWMA_map.pdf	45.9811526	-87.9875847	X		X	X			X				X	X							X			X		X						X			
Y	Van Riper State Park	Michigan Department of Natural Resources	906-339-4461	http://www.michigandnr.com/parksandtrails/Details.aspx?id=86&type=SPCG	46.5208996	-87.984959	X	X	X	X	X		X			X	X		X																				
	Huron Bay Grade				46.5313311	-88.0061945																																	
	Nestoria Road/Tracy Lake Road				46.5713895	-88.2723738																																	
Y	Wetmore Pond	Mead Corporation			46.607044	-87.4680443		X										X																			X		
Y	Presque Isle Park	City of Marquette	906-228-0460	http://www.mqtcty.org/parks-presque-isle.php	46.5819238	-87.3873487	X	X	X			X	X			X						X									X						X		
Y	Gene's Pond State Forest Campground	Michigan Department of Natural Resources	906-786-2351	http://www.michigandnr.com/parksandtrails/details.aspx?id=647&type=SFCG	46.073116	-87.8664931	X	X		X			X				X	X	X								X			X						X			
Y	Hardwood Impoundment	Michigan Department of Natural Resources			45.974185	-87.6753208	X	X					X																	X					X	X	X		
Y	Menominee River/Piers Gorge	Wisconsin Electric Power Company			45.7596664	-87.9391066							X				X										X			X							X		
Y	Peninsula Point	United States Forest Service	906-428-5800	http://www.fs.usda.gov/recarea/hiawatha/recarea/?recid=13320	45.6686889	-86.9664507	X	X	X														X					X					X			X	X		
Y	Portage Marsh State Wildlife Management Area	Michigan Department of Natural Resources	906-786-2351	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Portage_Marsh_SWMA_map.pdf	45.7064788	-87.0798239		X					X				X	X										X					X				X		
	Boney Falls Basin	"Mead Paper, Central District"					X	X	X	X			X			X	X								X					X				X					
Y	Au Train Songbird Trail	United States Forest Service	906-428-5800	http://www.fs.usda.gov/recarea/hiawatha/recreation/recarea/?recid=13323&actid=62	46.3931325	-86.836402	X	X	X	X			X			X	X	X												X			X	X			X		
Y	Sand Point Marsh Trail/Pictured Rocks National Lakeshore	National Park Service	906-387-3700	http://www.nps.gov/piro/planyourvisit/naturetrails.htm	46.4090301	-86.6493785	X	X	X		X					X	X		X			X												X		X	X		X
